Index   time[s]   T[K]   rho[g/cm^3]
0 1.000000000000E-16 5.0000 1.0000E8
1 1.380384264603E-16 5.0000 1.0000E8
2 1.905460717963E-16 5.0000 1.0000E8
3 2.630267991895E-16 5.0000 1.0000E8
4 3.630780547701E-16 5.0000 1.0000E8
5 5.011872336273E-16 5.0000 1.0000E8
6 6.918309709189E-16 5.0000 1.0000E8
7 9.549925860214E-16 5.0000 1.0000E8
8 1.318256738556E-15 5.0000 1.0000E8
9 1.819700858610E-15 5.0000 1.0000E8
10 2.511886431510E-15 5.0000 1.0000E8
11 3.467368504525E-15 5.0000 1.0000E8
12 4.786300923226E-15 5.0000 1.0000E8
13 6.606934480076E-15 5.0000 1.0000E8
14 9.120108393559E-15 5.0000 1.0000E8
15 1.258925411794E-14 5.0000 1.0000E8
16 1.737800828749E-14 5.0000 1.0000E8
17 2.398832919020E-14 5.0000 1.0000E8
18 3.311311214826E-14 5.0000 1.0000E8
19 4.570881896149E-14 5.0000 1.0000E8
20 6.309573444802E-14 5.0000 1.0000E8
21 8.709635899561E-14 5.0000 1.0000E8
22 1.202264434617E-13 5.0000 1.0000E8
23 1.659586907438E-13 5.0000 1.0000E8
24 2.290867652768E-13 5.0000 1.0000E8
25 3.162277660168E-13 5.0000 1.0000E8
26 4.365158322402E-13 5.0000 1.0000E8
27 6.025595860744E-13 5.0000 1.0000E8
28 8.317637711027E-13 5.0000 1.0000E8
29 1.148153621497E-12 5.0000 1.0000E8
30 1.584893192461E-12 5.0000 1.0000E8
31 2.187761623950E-12 5.0000 1.0000E8
32 3.019951720402E-12 5.0000 1.0000E8
33 4.168693834704E-12 5.0000 1.0000E8
34 5.754399373372E-12 5.0000 1.0000E8
35 7.943282347243E-12 5.0000 1.0000E8
36 1.096478196143E-11 5.0000 1.0000E8
37 1.513561248436E-11 5.0000 1.0000E8
38 2.089296130854E-11 5.0000 1.0000E8
39 2.884031503127E-11 5.0000 1.0000E8
40 3.981071705535E-11 5.0000 1.0000E8
41 5.495408738577E-11 5.0000 1.0000E8
42 7.585775750292E-11 5.0000 1.0000E8
43 1.047128548051E-10 5.0000 1.0000E8
44 1.445439770746E-10 5.0000 1.0000E8
45 1.995262314969E-10 5.0000 1.0000E8
46 2.754228703338E-10 5.0000 1.0000E8
47 3.801893963206E-10 5.0000 1.0000E8
48 5.248074602498E-10 5.0000 1.0000E8
49 7.244359600750E-10 5.0000 1.0000E8
50 1.000000000000E-9 5.0000 1.0000E8
51 1.380384264603E-9 5.0000 1.0000E8
52 1.905460717963E-9 5.0000 1.0000E8
53 2.630267991896E-9 5.0000 1.0000E8
54 3.630780547701E-9 5.0000 1.0000E8
55 5.011872336273E-9 5.0000 1.0000E8
56 6.918309709190E-9 5.0000 1.0000E8
57 9.549925860215E-9 5.0000 1.0000E8
58 1.318256738557E-8 5.0000 1.0000E8
59 1.819700858610E-8 5.0000 1.0000E8
60 2.511886431510E-8 5.0000 1.0000E8
61 3.467368504526E-8 5.0000 1.0000E8
62 4.786300923227E-8 5.0000 1.0000E8
63 6.606934480076E-8 5.0000 1.0000E8
64 9.120108393560E-8 5.0000 1.0000E8
65 1.258925411794E-7 5.0000 1.0000E8
66 1.737800828749E-7 5.0000 1.0000E8
67 2.398832919020E-7 5.0000 1.0000E8
68 3.311311214826E-7 5.0000 1.0000E8
69 4.570881896149E-7 5.0000 1.0000E8
70 6.309573444802E-7 5.0000 1.0000E8
71 8.709635899561E-7 5.0000 1.0000E8
72 1.202264434617E-6 5.0000 1.0000E8
73 1.659586907438E-6 5.0000 1.0000E8
74 2.290867652768E-6 5.0000 1.0000E8
75 3.162277660169E-6 5.0000 1.0000E8
76 4.365158322402E-6 5.0000 1.0000E8
77 6.025595860744E-6 5.0000 1.0000E8
78 8.317637711027E-6 5.0000 1.0000E8
79 1.148153621497E-5 5.0000 1.0000E8
80 1.584893192461E-5 5.0000 1.0000E8
81 2.187761623950E-5 5.0000 1.0000E8
82 3.019951720402E-5 5.0000 1.0000E8
83 4.168693834704E-5 5.0000 1.0000E8
84 5.754399373372E-5 5.0000 1.0000E8
85 7.943282347243E-5 5.0000 1.0000E8
86 1.096478196143E-4 5.0000 1.0000E8
87 1.513561248436E-4 5.0000 1.0000E8
88 2.089296130854E-4 5.0000 1.0000E8
89 2.884031503127E-4 5.0000 1.0000E8
90 3.981071705535E-4 5.0000 1.0000E8
91 5.495408738577E-4 5.0000 1.0000E8
92 7.585775750292E-4 5.0000 1.0000E8
93 0.001047128548 5.0000 1.0000E8
94 0.001445439771 5.0000 1.0000E8
95 0.001995262315 5.0000 1.0000E8
96 0.002754228703 5.0000 1.0000E8
97 0.003801893963 5.0000 1.0000E8
98 0.005248074602 5.0000 1.0000E8
99 0.007244359601 5.0000 1.0000E8
100 0.010000000000 5.0000 1.0000E8
