Y(Restart:logt=-2.000000)
0.010000000000000583 1.0346719120691044E-7 9.138246156664776E30 0.01 1.0E-7 0.0 1.3714442463310932E31
n  z  Y
2  2  6.62048460589366E-4
6  6  1.0221393975486078E-6
8  8  4.54758963469972E-6
10  10  3.363699621393211E-8
12  12  1.058503480198367E-5
14  14  0.010352207732538114
16  16  0.0091159084915809
18  18  0.00409038508501469
20  20  0.004266701822913779
22  22  8.09505087619498E-5
24  24  2.7404748493039854E-4
26  26  4.972678312183844E-4
28  28  7.935264721503488E-4
30  30  5.431901295266692E-8
32  32  2.598858469445325E-12
34  34  2.4746202625652E-16
